time,ID,x,y,SEQ,SPEED,ID,time,distance
4.5,2,-82.848045,34.681968,44,7.061359,1,4.4,0.522112952
4.5,2,-82.846739,34.677397,44,5.045664,1,4.4,0.521442565
4.5,5,-82.844296,34.683753,44,0.980314,4,4.4,9.49E-05
4.6,1,-82.847522,34.681317,45,9.071301,0,4.5,0.000918682
4.6,2,-82.848044,34.681962,45,7.276785,1,4.5,0.521959304
4.6,2,-82.846735,34.677393,45,5.252224,1,4.5,0.521180718
4.6,5,-82.844296,34.683752,45,1.234018,4,4.5,9.49E-05
4.7,1,-82.847512,34.681318,46,9.229771,0,4.6,0.000918682
4.7,2,-82.848043,34.681955,46,7.450749,1,4.6,0.521697633
4.7,2,-82.846731,34.677389,46,5.451602,1,4.6,0.520919111
4.7,5,-82.844296,34.683751,46,1.473012,4,4.6,0.000212282
4.8,1,-82.847502,34.681319,47,9.397045,0,4.7,0.000918682
4.8,2,-82.848042,34.681948,47,7.69459,1,4.7,0.521415112
4.8,2,-82.846728,34.677385,47,5.619013,1,4.7,0.520636632
4.8,5,-82.844296,34.683749,47,1.720781,4,4.7,9.49E-05
4.9,1,-82.847492,34.68132,48,9.594642,0,4.8,0.001005837
4.9,2,-82.848041,34.681941,48,7.906281,1,4.8,0.521153832
4.9,2,-82.846724,34.677381,48,5.764354,1,4.8,0.520375416
4.9,5,-82.844296,34.683748,48,1.976562,4,4.8,0.000212282
5,1,-82.847481,34.68132,49,9.727474,0,4.9,0.001010307
5,2,-82.84804,34.681934,49,8.078488,1,4.9,0.520892783
5,2,-82.84672,34.677377,49,5.973568,1,4.9,0.520006251
5,5,-82.844296,34.683746,49,2.142013,4,4.9,0.000212282
5.1,1,-82.84747,34.681321,50,9.942682,0,5,0.001010307
5.1,2,-82.848039,34.681926,50,8.220912,1,5,0.520523806
5.1,2,-82.846716,34.677373,50,6.213605,1,5,0.519724254
5.1,5,-82.844296,34.683744,50,2.32235,4,5,0.000328866
5.1,6,-82.845281,34.682736,50,0,5,5,0
